asana,label,label_int,filename,left_elbow,right_elbow,left_shoulder,right_shoulder,left_arm_raise,right_arm_raise,left_wrist_bend,right_wrist_bend,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,left_foot,right_foot,left_hip_abduction,right_hip_abduction,neck_tilt,spine_upper,spine_lower,left_trunk,right_trunk,left_lateral_bend,forward_bend,pelvic_tilt,left_arm_torso,right_arm_torso,left_shoulder_plane,right_shoulder_plane,left_hip_flexion,right_hip_flexion,hip_alignment,left_full_chain,right_full_chain
balasana,poor,0,4.mp4,64.596,130.331,30.91,99.413,30.91,99.413,158.873,142.487,148.984,139.001,175.594,126.949,122.692,160.491,51.93,40.216,72.897,145.767,142.097,173.336,153.615,148.984,139.001,179.98,142.097,164.088,146.784,128.112,30.91,99.413,148.984,139.001,179.96,146.716,162.483
balasana,poor,0,4.mp4,76.844,107.012,20.347,97.054,20.347,97.054,156.685,144.224,145.931,154.033,178.91,139.271,113.545,151.609,54.909,49.965,63.419,131.605,135.209,175.074,158.443,145.931,154.033,179.966,135.209,164.556,123.264,130.052,20.347,97.054,145.931,154.033,179.966,146.096,157.697
bhujangasana,good,2,3.mp4,114.645,69.034,20.704,27.933,20.704,27.933,88.111,166.898,176.138,165.457,173.585,170.855,157.747,163.637,33.38,35.349,96.321,65.987,163.518,171.434,172.917,176.138,165.457,179.96,163.518,168.792,58.865,105.08,20.704,27.933,176.138,165.457,179.937,174.462,161.581
bhujangasana,good,2,3.mp4,93.828,111.161,26.663,57.771,26.663,57.771,91.253,87.935,175.542,158.68,172.279,175.871,158.504,156.957,34.343,68.275,108.702,61.264,152.492,169.17,173.868,175.542,158.68,179.966,152.492,166.879,75.729,150.355,26.663,57.771,175.542,158.68,179.948,173.697,157.262
bhujangasana,good,2,3.mp4,108.785,86.32,20.803,52.402,20.803,52.402,102.393,104.15,177.744,161.017,166.343,177.467,163.045,165.278,40.671,28.421,111.488,63.893,151.916,172.432,171.605,177.744,161.017,179.972,151.916,168.239,62.037,148.212,20.803,52.402,177.744,161.017,179.956,173.675,160.46
bhujangasana,good,2,3.mp4,95.228,130.148,18.335,59.437,18.335,59.437,101.132,103.814,170.526,163.91,170.326,161.402,156.65,151.592,16.002,43.2,109.508,53.766,157.928,167.809,166.286,170.526,163.91,179.972,157.928,161.407,69.587,158.495,18.335,59.437,170.526,163.91,179.952,165.692,156.04
bhujangasana,good,2,3.mp4,118.588,109.357,17.5,57.463,17.5,57.463,124.542,100.021,166.648,160.049,169.774,168.727,145.219,151.418,28.08,38.993,112.783,52.421,155.832,164.18,169.106,166.648,160.049,179.956,155.832,159.084,47.867,155.133,17.5,57.463,166.648,160.049,179.952,161.869,155.183
padmasana,good,2,2.mp4,133.642,124.893,81.256,57.352,81.256,57.352,174.032,165.002,65.664,87.196,62.185,38.1,143.42,137.331,91.008,70.487,115.378,99.503,108.321,79.431,12.115,65.664,87.196,179.944,108.321,84.063,117.622,120.574,81.256,57.352,65.664,87.196,179.907,89.699,87.908
padmasana,good,2,20260217_113022.mp4,151.593,155.037,35.0,35.896,35.0,35.896,155.911,156.956,68.939,76.904,30.068,25.124,132.008,131.689,60.681,68.05,120.233,86.235,149.73,73.652,6.274,68.939,76.904,179.853,149.73,79.379,94.847,95.929,35.0,35.896,68.939,76.904,179.768,72.995,89.5
padmasana,good,2,20260217_113022.mp4,143.27,157.299,30.408,34.468,30.408,34.468,160.679,156.094,70.637,79.201,30.126,26.814,134.964,126.736,55.146,65.426,118.808,86.785,147.388,75.67,7.061,70.637,79.201,179.853,147.388,81.908,93.779,95.855,30.408,34.468,70.637,79.201,179.77,75.367,91.175
padmasana,good,2,20260217_113022.mp4,140.988,150.767,32.111,32.76,32.111,32.76,162.615,156.16,71.15,76.725,29.406,27.795,133.887,133.117,55.501,68.572,119.522,86.208,147.855,74.657,7.588,71.15,76.725,179.853,147.855,81.431,91.62,97.139,32.111,32.76,71.15,76.725,179.771,76.402,88.869
padmasana,good,2,20260217_113022.mp4,143.803,148.631,32.725,31.579,32.725,31.579,158.936,158.305,72.039,77.771,28.341,27.217,131.97,121.804,57.976,63.16,120.183,85.429,146.581,75.645,7.586,72.039,77.771,179.851,146.581,82.813,91.072,97.244,32.725,31.579,72.039,77.771,179.774,77.085,90.646
padmasana,good,2,20260217_113247.mp4,161.166,168.032,105.407,109.109,105.407,109.109,173.411,171.023,37.224,39.729,170.879,170.448,148.292,148.245,96.944,94.147,93.384,88.449,169.841,38.42,171.623,37.224,39.729,179.795,169.841,42.724,106.283,77.976,105.407,109.109,37.224,39.729,179.657,41.349,44.515
padmasana,good,2,20260217_113247.mp4,151.681,161.29,88.546,97.854,88.546,97.854,169.463,173.667,45.878,42.921,170.218,161.34,153.996,151.301,97.643,91.062,91.48,88.347,159.391,44.355,166.214,45.878,42.921,179.787,159.391,51.765,92.455,93.172,88.546,97.854,45.878,42.921,179.647,51.162,52.894
padmasana,good,2,20260217_113247.mp4,144.399,153.934,87.046,88.845,87.046,88.845,169.207,162.226,43.625,45.662,162.634,164.745,148.04,142.764,75.971,75.373,87.774,90.769,164.086,44.651,163.922,43.625,45.662,179.787,164.086,53.616,88.743,99.192,87.046,88.845,43.625,45.662,179.66,54.101,53.408
padmasana,good,2,20260217_113247.mp4,154.595,154.32,81.875,62.378,81.875,62.378,156.074,161.614,46.748,70.777,127.956,166.571,167.465,144.916,73.587,87.989,91.296,96.351,143.886,59.716,148.271,46.748,70.777,179.787,143.886,77.043,87.279,101.833,81.875,62.378,46.748,70.777,179.616,76.035,77.994
padmasana,good,2,20260217_113247.mp4,157.407,152.555,61.543,32.285,61.543,32.285,163.455,158.332,49.28,101.22,88.437,171.098,160.661,147.313,67.584,91.179,89.962,106.767,122.717,78.777,138.949,49.28,101.22,179.788,122.717,99.295,94.892,97.366,61.543,32.285,49.28,101.22,179.594,89.006,106.236
