asana,label,label_int,filename,left_elbow,right_elbow,left_shoulder,right_shoulder,left_arm_raise,right_arm_raise,left_wrist_bend,right_wrist_bend,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,left_foot,right_foot,left_hip_abduction,right_hip_abduction,neck_tilt,spine_upper,spine_lower,left_trunk,right_trunk,left_lateral_bend,forward_bend,pelvic_tilt,left_arm_torso,right_arm_torso,left_shoulder_plane,right_shoulder_plane,left_hip_flexion,right_hip_flexion,hip_alignment,left_full_chain,right_full_chain
padmasana,good,2,2.mp4,133.642,124.893,81.256,57.352,81.256,57.352,174.032,165.002,65.664,87.196,62.185,38.1,143.42,137.331,91.008,70.487,115.378,99.503,108.321,79.431,12.115,65.664,87.196,179.944,108.321,84.063,117.622,120.574,81.256,57.352,65.664,87.196,179.907,89.699,87.908
padmasana,good,2,20260217_113022.mp4,151.593,155.037,35.0,35.896,35.0,35.896,155.911,156.956,68.939,76.904,30.068,25.124,132.008,131.689,60.681,68.05,120.233,86.235,149.73,73.652,6.274,68.939,76.904,179.853,149.73,79.379,94.847,95.929,35.0,35.896,68.939,76.904,179.768,72.995,89.5
padmasana,good,2,20260217_113022.mp4,143.27,157.299,30.408,34.468,30.408,34.468,160.679,156.094,70.637,79.201,30.126,26.814,134.964,126.736,55.146,65.426,118.808,86.785,147.388,75.67,7.061,70.637,79.201,179.853,147.388,81.908,93.779,95.855,30.408,34.468,70.637,79.201,179.77,75.367,91.175
padmasana,good,2,20260217_113022.mp4,140.988,150.767,32.111,32.76,32.111,32.76,162.615,156.16,71.15,76.725,29.406,27.795,133.887,133.117,55.501,68.572,119.522,86.208,147.855,74.657,7.588,71.15,76.725,179.853,147.855,81.431,91.62,97.139,32.111,32.76,71.15,76.725,179.771,76.402,88.869
padmasana,good,2,20260217_113022.mp4,143.803,148.631,32.725,31.579,32.725,31.579,158.936,158.305,72.039,77.771,28.341,27.217,131.97,121.804,57.976,63.16,120.183,85.429,146.581,75.645,7.586,72.039,77.771,179.851,146.581,82.813,91.072,97.244,32.725,31.579,72.039,77.771,179.774,77.085,90.646
padmasana,good,2,20260217_113247.mp4,161.166,168.032,105.407,109.109,105.407,109.109,173.411,171.023,37.224,39.729,170.879,170.448,148.292,148.245,96.944,94.147,93.384,88.449,169.841,38.42,171.623,37.224,39.729,179.795,169.841,42.724,106.283,77.976,105.407,109.109,37.224,39.729,179.657,41.349,44.515
padmasana,good,2,20260217_113247.mp4,151.681,161.29,88.546,97.854,88.546,97.854,169.463,173.667,45.878,42.921,170.218,161.34,153.996,151.301,97.643,91.062,91.48,88.347,159.391,44.355,166.214,45.878,42.921,179.787,159.391,51.765,92.455,93.172,88.546,97.854,45.878,42.921,179.647,51.162,52.894
padmasana,good,2,20260217_113247.mp4,144.399,153.934,87.046,88.845,87.046,88.845,169.207,162.226,43.625,45.662,162.634,164.745,148.04,142.764,75.971,75.373,87.774,90.769,164.086,44.651,163.922,43.625,45.662,179.787,164.086,53.616,88.743,99.192,87.046,88.845,43.625,45.662,179.66,54.101,53.408
padmasana,good,2,20260217_113247.mp4,154.595,154.32,81.875,62.378,81.875,62.378,156.074,161.614,46.748,70.777,127.956,166.571,167.465,144.916,73.587,87.989,91.296,96.351,143.886,59.716,148.271,46.748,70.777,179.787,143.886,77.043,87.279,101.833,81.875,62.378,46.748,70.777,179.616,76.035,77.994
padmasana,good,2,20260217_113247.mp4,157.407,152.555,61.543,32.285,61.543,32.285,163.455,158.332,49.28,101.22,88.437,171.098,160.661,147.313,67.584,91.179,89.962,106.767,122.717,78.777,138.949,49.28,101.22,179.788,122.717,99.295,94.892,97.366,61.543,32.285,49.28,101.22,179.594,89.006,106.236
padmasana,good,2,20260217_113247.mp4,150.907,146.398,52.629,23.874,52.629,23.874,172.603,159.654,49.286,106.714,84.445,171.29,161.167,146.843,91.527,96.865,79.813,124.816,115.026,83.211,139.058,49.286,106.714,179.803,115.026,102.583,97.858,98.495,52.629,23.874,49.286,106.714,179.606,87.448,111.437
padmasana,good,2,20260217_113247.mp4,155.386,153.287,55.795,31.072,55.795,31.072,145.853,166.062,44.471,103.814,81.561,167.738,160.766,145.857,80.093,93.413,67.346,124.251,120.439,78.365,135.582,44.471,103.814,179.825,120.439,98.688,108.054,85.479,55.795,31.072,44.471,103.814,179.655,79.346,110.331
padmasana,good,2,20260217_113247.mp4,148.618,150.771,64.288,34.487,64.288,34.487,158.782,170.837,36.688,93.287,80.955,168.312,163.029,146.177,84.349,96.412,70.854,119.015,127.503,68.913,135.317,36.688,93.287,179.812,127.503,89.622,104.846,95.08,64.288,34.487,36.688,93.287,179.65,72.529,99.593
padmasana,good,2,20260217_113247.mp4,144.114,148.957,54.405,28.54,54.405,28.54,170.742,166.923,48.73,97.72,86.585,165.497,164.894,142.966,93.876,93.699,74.617,122.427,121.46,76.64,136.228,48.73,97.72,179.813,121.46,94.99,106.942,98.596,54.405,28.54,48.73,97.72,179.647,78.675,105.278
padmasana,good,2,20260217_113247.mp4,125.286,139.679,26.751,37.142,26.751,37.142,170.598,170.313,85.833,91.41,85.253,164.559,109.635,144.044,89.476,96.231,82.315,119.441,122.482,89.645,154.493,85.833,91.41,179.796,122.482,92.479,97.339,96.845,26.751,37.142,85.833,91.41,179.651,80.333,98.664
padmasana,good,2,20260217_113247.mp4,129.817,150.733,30.363,40.903,30.363,40.903,175.65,160.68,86.548,92.912,64.037,162.851,123.512,147.634,71.82,99.01,89.321,113.085,122.431,90.17,153.779,86.548,92.912,179.807,122.431,92.72,101.742,78.81,30.363,40.903,86.548,92.912,179.642,81.567,100.467
padmasana,good,2,20260217_113247.mp4,123.359,155.898,28.297,37.031,28.297,37.031,175.353,172.589,92.593,91.765,40.986,119.749,137.776,156.402,77.32,74.606,94.758,113.152,122.424,93.071,88.522,92.593,91.765,179.793,122.424,99.364,102.497,76.678,28.297,37.031,92.593,91.765,179.615,85.801,108.253
padmasana,good,2,20260217_113247.mp4,127.117,147.877,33.252,39.742,33.252,39.742,178.912,170.14,91.233,81.859,40.873,77.412,129.396,154.952,54.607,90.28,93.916,126.727,128.057,88.845,55.778,91.233,81.859,179.772,128.057,101.68,102.847,82.22,33.252,39.742,91.233,81.859,179.643,90.721,112.648
padmasana,good,2,20260217_113247.mp4,130.523,134.946,17.194,17.49,17.194,17.49,169.09,165.834,112.477,97.704,43.928,54.513,133.331,133.535,70.911,78.689,88.919,123.81,107.586,106.948,27.0,112.477,97.704,179.782,107.586,115.331,113.337,76.166,17.194,17.49,112.477,97.704,179.647,113.976,117.1
padmasana,good,2,20260217_113247.mp4,147.12,141.919,25.829,24.563,25.829,24.563,165.325,172.432,86.239,92.188,20.517,24.261,142.813,131.511,62.323,61.179,112.639,95.955,134.333,90.435,1.892,86.239,92.188,179.787,134.333,92.681,100.778,86.997,25.829,24.563,86.239,92.188,179.635,94.993,93.661
padmasana,good,2,20260217_113247.mp4,145.572,141.565,26.564,24.406,26.564,24.406,165.598,172.576,83.575,90.358,19.363,22.665,142.74,133.873,62.855,60.336,114.157,94.651,136.373,88.097,2.105,83.575,90.358,179.787,136.373,90.918,102.177,85.192,26.564,24.406,83.575,90.358,179.641,92.942,92.493
padmasana,good,2,20260217_113247.mp4,144.815,143.229,29.652,27.077,29.652,27.077,168.456,171.847,82.869,88.311,19.163,20.825,141.047,133.617,63.628,57.362,114.19,94.813,138.168,86.619,3.363,82.869,88.311,179.786,138.168,91.518,101.977,84.915,29.652,27.077,82.869,88.311,179.641,92.711,93.466
padmasana,good,2,20260217_113247.mp4,142.242,142.316,28.423,24.265,28.423,24.265,170.175,170.02,82.59,87.922,17.037,20.798,143.698,135.479,68.608,62.814,114.359,94.792,138.669,86.279,3.323,82.59,87.922,179.786,138.669,91.743,102.524,83.884,28.423,24.265,82.59,87.922,179.643,94.617,92.719
padmasana,good,2,20260217_113247.mp4,142.122,144.031,21.993,20.534,21.993,20.534,168.903,167.16,85.386,89.782,19.218,22.114,138.583,133.343,77.673,68.584,115.645,94.506,134.776,88.699,2.494,85.386,89.782,179.783,134.776,92.348,98.328,87.3,21.993,20.534,85.386,89.782,179.637,95.393,92.732
padmasana,good,2,20260217_113247.mp4,140.814,142.36,18.845,19.19,18.845,19.19,166.515,167.048,88.204,92.966,20.227,22.918,134.094,137.629,77.075,74.682,111.766,97.695,135.743,91.728,1.154,88.204,92.966,179.783,135.743,93.406,97.081,88.358,18.845,19.19,88.204,92.966,179.646,97.278,92.671
