asana,label,label_int,filename,left_elbow,right_elbow,left_shoulder,right_shoulder,left_arm_raise,right_arm_raise,left_wrist_bend,right_wrist_bend,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,left_foot,right_foot,left_hip_abduction,right_hip_abduction,neck_tilt,spine_upper,spine_lower,left_trunk,right_trunk,left_lateral_bend,forward_bend,pelvic_tilt,left_arm_torso,right_arm_torso,left_shoulder_plane,right_shoulder_plane,left_hip_flexion,right_hip_flexion,hip_alignment,left_full_chain,right_full_chain
tadasana,good,2,2.mp4,172.884,176.276,141.854,139.244,141.854,139.244,163.904,163.971,149.234,143.051,122.304,116.251,152.746,161.961,34.492,27.198,87.992,101.964,153.332,147.441,119.676,149.234,143.051,179.914,153.332,164.045,78.603,107.023,141.854,139.244,149.234,143.051,179.88,163.19,164.09
tadasana,good,2,2.mp4,172.001,177.094,149.522,145.099,149.522,145.099,169.622,165.14,162.693,145.568,140.897,124.564,157.956,158.165,30.668,33.802,80.802,112.611,159.537,156.035,133.786,162.693,145.568,179.905,159.537,167.544,80.561,105.491,149.522,145.099,162.693,145.568,179.888,165.946,168.877
tadasana,good,2,2.mp4,170.19,176.13,149.819,145.844,149.819,145.844,167.521,163.925,163.921,148.353,141.94,128.165,157.822,156.522,28.663,35.474,78.089,115.499,157.231,158.037,135.977,163.921,148.353,179.909,157.231,167.497,77.703,110.323,149.819,145.844,163.921,148.353,179.89,165.554,169.511
tadasana,good,2,2.mp4,169.639,174.31,149.431,146.959,149.431,146.959,169.743,166.66,165.13,140.712,142.643,121.453,157.259,152.614,31.066,39.76,81.37,115.454,158.569,155.153,133.589,165.13,140.712,179.909,158.569,168.457,72.733,115.731,149.431,146.959,165.13,140.712,179.892,165.573,171.789
tadasana,good,2,2.mp4,168.032,171.974,149.745,144.865,149.745,144.865,168.682,53.672,157.309,137.409,135.36,119.413,155.892,141.124,32.886,53.946,85.788,109.13,159.127,148.733,127.754,157.309,137.409,179.903,159.127,171.509,84.543,104.447,149.745,144.865,157.309,137.409,179.886,167.651,176.643
tadasana,good,2,2.mp4,166.069,169.592,151.259,143.203,151.259,143.203,172.37,38.651,153.511,140.117,133.062,119.52,155.522,143.12,31.522,49.304,87.412,104.233,157.874,147.899,126.789,153.511,140.117,179.901,157.874,171.346,101.634,87.177,151.259,143.203,153.511,140.117,179.875,169.662,173.504
tadasana,good,2,2.mp4,175.16,173.156,148.895,144.656,148.895,144.656,172.242,166.117,154.915,129.979,132.193,111.78,152.485,141.046,35.777,53.42,90.848,105.078,156.445,144.135,122.738,154.915,129.979,179.903,156.445,171.524,83.388,99.535,148.895,144.656,154.915,129.979,179.883,167.505,176.539
tadasana,good,2,2.mp4,177.401,176.957,143.795,141.125,143.795,141.125,172.485,170.437,159.51,140.201,134.004,118.949,150.266,145.011,38.091,51.369,85.191,108.477,154.115,151.427,126.992,159.51,140.201,179.909,154.115,167.994,73.638,108.124,143.795,141.125,159.51,140.201,179.88,164.237,172.498
tadasana,good,2,2.mp4,178.124,176.325,145.451,142.077,145.451,142.077,173.017,167.249,159.12,140.732,135.937,120.023,149.174,145.297,38.421,49.596,85.012,109.178,155.454,151.602,128.669,159.12,140.732,179.907,155.454,169.177,74.993,106.664,145.451,142.077,159.12,140.732,179.881,165.865,173.052
tadasana,good,2,2.mp4,177.609,177.667,143.949,142.187,143.949,142.187,171.759,167.767,160.272,146.816,136.31,125.208,150.003,148.566,38.172,45.629,82.004,108.865,156.565,154.999,131.324,160.272,146.816,179.903,156.565,167.772,75.119,106.404,143.949,142.187,160.272,146.816,179.88,165.266,170.131
tadasana,good,2,2.mp4,176.704,176.537,143.138,142.119,143.138,142.119,170.832,167.068,172.464,147.393,147.62,125.729,149.805,146.907,37.738,46.87,80.973,114.067,155.77,163.054,138.588,172.464,147.393,179.907,155.77,166.071,70.337,111.999,143.138,142.119,172.464,147.393,179.883,162.526,170.158
