asana,label,label_int,filename,left_elbow,right_elbow,left_shoulder,right_shoulder,left_arm_raise,right_arm_raise,left_wrist_bend,right_wrist_bend,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,left_foot,right_foot,left_hip_abduction,right_hip_abduction,neck_tilt,spine_upper,spine_lower,left_trunk,right_trunk,left_lateral_bend,forward_bend,pelvic_tilt,left_arm_torso,right_arm_torso,left_shoulder_plane,right_shoulder_plane,left_hip_flexion,right_hip_flexion,hip_alignment,left_full_chain,right_full_chain
trikonasana,good,2,1.mp4,62.241,140.219,16.005,102.281,16.005,102.281,162.439,167.211,167.518,137.318,162.327,130.824,133.897,169.679,50.116,33.32,69.949,133.68,160.432,157.06,150.342,167.518,137.318,179.941,160.432,178.287,126.893,127.904,16.005,102.281,167.518,137.318,179.921,175.718,174.286
trikonasana,good,2,1.mp4,97.217,136.288,20.415,91.045,20.415,91.045,137.568,168.189,163.531,77.814,153.511,78.813,137.739,160.311,46.977,33.727,132.623,127.27,155.369,123.756,115.838,163.531,77.814,179.941,155.369,169.539,125.152,122.522,20.415,91.045,163.531,77.814,179.918,171.996,144.885
trikonasana,good,2,1.mp4,70.225,133.822,10.871,87.913,10.871,87.913,154.139,164.715,163.966,75.764,155.049,73.103,151.27,163.089,34.347,27.727,137.203,135.254,152.249,131.288,117.476,163.966,75.764,179.941,152.249,171.987,126.612,123.885,10.871,87.913,163.966,75.764,179.914,164.827,149.113
trikonasana,good,2,1.mp4,91.481,157.823,26.783,63.189,26.783,63.189,151.492,154.333,116.675,103.418,69.793,76.018,159.005,158.102,30.622,31.533,135.819,86.091,114.526,118.856,68.966,116.675,103.418,179.931,114.526,147.859,112.92,121.26,26.783,63.189,116.675,103.418,179.907,144.284,133.055
trikonasana,good,2,1.mp4,66.768,140.898,19.497,75.652,19.497,75.652,174.452,162.468,141.714,120.344,121.54,108.444,148.559,160.538,26.232,26.219,111.964,130.099,124.767,160.383,115.175,141.714,120.344,179.944,124.767,145.225,118.024,124.326,19.497,75.652,141.714,120.344,179.903,131.525,140.502
trikonasana,good,2,1.mp4,85.286,120.477,14.515,75.127,14.515,75.127,170.384,166.667,150.228,90.709,152.799,83.462,157.893,162.845,29.519,31.436,135.49,141.15,130.221,160.987,127.135,150.228,90.709,179.937,130.221,149.042,120.404,124.313,14.515,75.127,150.228,90.709,179.901,139.566,135.347
trikonasana,good,2,1.mp4,77.287,118.896,23.696,70.161,23.696,70.161,163.521,167.022,156.855,69.416,162.194,69.161,150.56,167.754,25.699,31.549,144.925,143.475,148.899,146.837,127.067,156.855,69.416,179.934,148.899,166.918,131.578,112.203,23.696,70.161,156.855,69.416,179.899,155.673,136.525
trikonasana,good,2,1.mp4,86.072,140.814,24.525,75.522,24.525,75.522,167.382,165.954,143.372,83.98,168.967,74.763,145.477,175.672,28.229,37.154,145.527,145.741,137.546,168.082,137.222,143.372,83.98,179.929,137.546,156.07,120.338,122.81,24.525,75.522,143.372,83.98,179.907,140.482,135.343
trikonasana,good,2,1.mp4,99.5,148.587,38.79,88.026,38.79,88.026,173.882,166.899,145.158,77.616,175.478,74.561,139.792,168.951,30.779,47.415,147.128,149.303,144.54,171.476,145.7,145.158,77.616,179.944,144.54,162.184,104.274,128.797,38.79,88.026,145.158,77.616,179.909,143.702,128.022
trikonasana,good,2,1.mp4,94.542,142.016,34.68,88.493,34.68,88.493,173.323,166.193,147.987,64.335,173.753,65.608,144.624,168.61,26.707,48.143,151.611,151.722,148.194,157.985,134.32,147.987,64.335,179.944,148.194,166.569,109.541,126.926,34.68,88.493,147.987,64.335,179.923,145.556,116.157
