asana,label,label_int,filename,left_elbow,right_elbow,left_shoulder,right_shoulder,left_arm_raise,right_arm_raise,left_wrist_bend,right_wrist_bend,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,left_foot,right_foot,left_hip_abduction,right_hip_abduction,neck_tilt,spine_upper,spine_lower,left_trunk,right_trunk,left_lateral_bend,forward_bend,pelvic_tilt,left_arm_torso,right_arm_torso,left_shoulder_plane,right_shoulder_plane,left_hip_flexion,right_hip_flexion,hip_alignment,left_full_chain,right_full_chain
vrikshasana,good,2,1 (1).mp4,143.4,157.56,173.026,173.874,173.026,173.874,162.25,167.058,156.12,39.263,136.981,6.789,164.322,168.094,27.024,37.18,112.246,95.215,151.606,50.422,24.022,156.12,39.263,179.909,151.606,173.582,111.912,70.264,173.026,173.874,156.12,39.263,179.864,169.764,117.919
vrikshasana,good,2,1 (1).mp4,134.557,157.607,171.884,169.491,171.884,169.491,159.254,168.663,159.864,43.989,139.418,7.565,164.962,167.033,26.812,39.528,110.107,93.306,149.761,54.934,26.39,159.864,43.989,179.916,149.761,171.567,117.625,64.81,171.884,169.491,159.864,43.989,179.863,168.433,114.322
vrikshasana,good,2,1 (1).mp4,135.443,157.927,172.014,168.926,172.014,168.926,158.753,168.413,161.915,43.436,141.683,7.921,165.188,166.985,26.772,40.096,110.116,93.591,149.946,54.598,26.295,161.915,43.436,179.912,149.946,172.785,116.76,65.312,172.014,168.926,161.915,43.436,179.864,168.513,98.878
vrikshasana,good,2,1 (1).mp4,137.023,158.458,171.984,169.2,171.984,169.2,160.53,167.944,161.605,43.051,141.541,8.367,165.533,167.294,26.067,37.995,109.332,93.138,150.294,53.73,25.657,161.605,43.051,179.916,150.294,174.059,117.284,64.973,171.984,169.2,161.605,43.051,179.86,168.685,86.63
vrikshasana,good,2,1 (1).mp4,135.076,158.526,171.858,169.289,171.858,169.289,161.203,167.925,160.232,42.55,140.081,8.551,165.666,167.676,26.003,39.077,108.317,92.325,150.367,53.329,25.396,160.232,42.55,179.918,150.367,174.748,116.516,65.428,171.858,169.289,160.232,42.55,179.862,168.788,83.122
vrikshasana,good,2,1 (1).mp4,132.168,158.008,171.953,170.706,171.953,170.706,158.3,167.008,161.072,42.841,140.327,8.58,166.352,165.976,24.975,41.618,106.461,91.092,149.971,53.867,25.746,161.072,42.841,179.916,149.971,173.504,117.283,65.329,171.953,170.706,161.072,42.841,179.863,167.978,85.381
vrikshasana,good,2,1 (1).mp4,132.071,158.045,172.913,171.623,172.913,171.623,157.566,167.956,160.895,42.455,140.652,7.662,166.528,167.339,24.477,37.08,104.491,89.814,150.548,53.568,25.851,160.895,42.455,179.918,150.548,171.891,119.023,63.86,172.913,171.623,160.895,42.455,179.862,168.337,106.002
vrikshasana,good,2,1 (1).mp4,129.531,156.835,171.942,169.149,171.942,169.149,157.915,167.62,162.067,45.23,140.09,7.557,166.973,167.427,24.0,37.908,103.915,89.281,148.597,56.201,26.503,162.067,45.23,179.918,148.597,169.302,119.093,63.894,171.942,169.149,162.067,45.23,179.863,166.711,119.146
vrikshasana,good,2,1 (1).mp4,131.788,156.994,172.302,171.247,172.302,171.247,160.071,167.969,161.74,42.019,141.62,7.601,166.956,167.464,24.047,38.144,103.968,89.478,151.544,54.158,26.691,161.74,42.019,179.918,151.544,171.837,118.704,64.631,172.302,171.247,161.74,42.019,179.863,168.47,114.153
vrikshasana,good,2,1 (1).mp4,129.3,157.478,173.311,170.931,173.311,170.931,157.412,168.361,164.003,42.25,143.324,7.59,166.579,167.615,24.573,38.046,104.101,89.876,150.715,54.66,26.799,164.003,42.25,179.918,150.715,171.269,116.985,65.529,173.311,170.931,164.003,42.25,179.863,167.801,113.738
vrikshasana,good,2,1.mp4,100.536,135.688,51.939,76.834,51.939,76.834,166.387,172.274,91.578,131.553,73.578,94.921,134.856,139.093,52.05,42.658,75.719,116.868,143.019,111.316,83.951,91.578,131.553,179.926,143.019,175.67,115.91,99.416,51.939,76.834,91.578,131.553,179.866,166.211,165.094
vrikshasana,good,2,1.mp4,104.094,136.258,31.698,50.386,31.698,50.386,155.877,161.78,88.645,142.103,52.447,87.708,134.973,131.935,49.313,56.643,85.912,99.501,118.81,114.443,67.467,88.645,142.103,179.918,118.81,174.895,111.41,110.308,31.698,50.386,88.645,142.103,179.867,157.754,162.934
